Marqaa gubataa, nama hubataatu arga.
Yaadni isaa karaa irraa akka hin jal'annetti, dubartoota hin baay'ifatin, meetii fi warqee baay'ee hin tuullatin!
Mootichi moosifamee teessoo irra yommuu taa'u, macaafa seeraa isa Lewwoota warra luboota bira jiru irraa waraqata maramu irratti haa caafsifatu!
Kun Waaqayyoon gooftaa isaa sodaachuu akka inni ittiin baruuf dubbii seera kanaa fi seerrata kanaa hundumaa akka ittiin eeguuf isa bira haa taa'u! Inni bara jireenya isaa hundumaatti isa haa dubbisu!
Inni garaa isaa keessatti innii fi sanyiin isaa Israa'el irratti bara dheeraa akka mo'aniif, obboloota isaa gararraatti of lakkaa'ee, abboommicha irraas gara mirgaatti yookiis gara bitaatti akka hin jal'annetti isa haa dubbisu!
Lewwoonni warri luboonni kana jechuunis guutummaan gosa Lewwii aarsaa gubamu isa akka qooda Waaqayyootti dhi'aatu sana haa nyaatan malee, gosa Israa'el warra kaanii wajjin qooda yookiis dhaala hin hirmatin!
Akkuma Waaqayyo isaan abdachiisetti inni ofii isaatii dhaala isaanii ti; kanaaf isaan obboloota isaanii gidduudhaa dhaala hin qaban.
Namoonni warri korma yookiis hoolaa aarsaa dhi'eessan, harka, mangaagaa lamaan, mi'a garaas lubaaf haa kennan! Kun qooda lubni saba irraa argatu haa ta'u!
Ija midhaan keetii keessaa, kan waynii keetii keessaa, dhadhaa ejersaa kee keessaas isa duraa, rifeensa hoolaa keetii keessaas isa duraa isaaniif in kennita.
Waaqayyo gooftaan kee gosa kee hundumaa keessaa Lewwiinii fi ijoolleen isaa bara hundumaa dhaabatanii maqaa isaatiin akka hojjetaniif isaan fo'ate.
Namni Lewwii mandaroota guutummaa Israa'el keessaa isa tokko keessa jiraatu garaa isaa hundumaan hawwee, ba'ee gara iddoo isa Waaqayyo fo'atu sana yoo dhufe,
inni akkuma Lewwoota obboloota isaa warra Waaqayyoof hojjechuudhaaf achi isa dura dhaabatanii, maqaa Waaqayyo gooftaa isaatiin hojjechuu in danda'a.
Inni dhaala abbaa isaatii isa gurgurame keessaa isa argatu irratti iyyuu, nyaata warra kaanii wajjin wal qixxee haa hirmatu!
Isin biyya Waaqayyo gooftaan keessan isiniif kennutti yeroo galtan, wanta ciiggaasisaa sabni warri sun amala godhatan duukaa bu'uu hin barinaa!
Namni ilma isaa yookiis intala isaa aarsaa gubamuuf dhi'eessu, namni hooda dubbatu, namni duumessa ilaalee ayyaana hedu, beekaan, namni qoricha namatti godhus tokko illee si keessatti hin argamin!
Namni nama dawweessu, namni ekeraa dubbisu, qaalluun yookiis namni warra du'an waamu si keessatti hin argamin!
Eenyu illee kana yoo godhe Waaqayyo duratti ciigga'amaa in ta'a; sababii hojii ciigga'amaa akkasiitiif Waaqayyo gooftaan kee saba warra kaan oofee fuula kee duraa in baasa.
Kanaaf ati Waaqayyo gooftaa kee duratti mudaa kan hin qabne ta'i!
Sabni warri isin achii baasuuf jettan, wanta warri duumessa ilaalanii ayyaana hedanii fi warri hooda dubbatan jedhan in dhaga'u; garuu Waaqayyo gooftaan keessan isin akkas akka hin gooneef isin dhowweera.
Waaqayyo gooftaan keessan isin gidduudhaa, obboloota keessan keessaa, raajii akka kootii isiniif in kaasa; isin isaaf dhaga'aa!
Kun hundinuu akka fedha keessanii isa isin guyyaa walga'ii sana tulluu Siinaatti, "Nuyi akka hin dhumnetti, deebinee sagalee Waaqayyo gooftaa keenyaa akka hin dhageenye, ibidda guddaa kanas deebinee akka hin argine nuuf godhi!" jettanii Waaqayyoon gooftaa keessan kadhattanii dha.
Gaafas Waaqayyo anatti in dubbate; inni, "Wanti isaan dubbatan kun ba'eessa.
Ani raajii akka keetii obboloota isaanii keessaa isaaniif nan kaasa; dubbii koo afaan isaa keessa nan kaa'a, inni immoo wanta ani isa abboome hundumaa isaanitti in hima.
Egaa eenyu illee dubbii koo isa inni maqaa kootiin dubbatu kana dhaga'uu yoo dide, gatii isaa in argata.
Raajiin utuu ani dubbachuudhaaf isa hin abboomin dubbii tokko maqaa kootiin waan dubbatu kan fakkeessu yookiis maqaa waaqayyolii warra kaaniitiin kan dubbatu haa ajjeefamu!" jedhe.
Isin immoo garaa keessanitti, "Dubbii isa Waaqayyo hin dubbatin sana attamitti beekuu dandeenya?" yoo jettan,
raajiin tokko maqaa Waaqayyootiin erga dubbatee booddee, dubbichi yoo raawwatamuu yookiis dhugaa ta'uu dhabaate, dubbichi isa Waaqayyo hin dubbatinii dha; raajichi kana ta'innaadhaan waan dubbateef isa hin sodaatinaa!
Waaqayyo gooftaan kee saba lafa irraa warra inni ofii isaatii biyya isaanii siif kennu yommuu balleessu, ati immoo biyyicha isaan irraa fudhattee, mandaroota isaanii fi manneetii isaanii keessa yommuu teessu,
biyya Waaqayyo gooftaan kee akka ati qabattuuf siif kennu keessaa mandaroota kutaa kutaa biyyichaa gidduu jiran sadii addaan baasi!
Namni nama ajjeese tokko achitti akka kooluu galuuf, biyya Waaqayyo gooftaan kee akka ati dhaaltuuf siif kennutti karaa baasisiitii biyyicha iddoo sadiitti hiri!
Seerri namni utuu hin beekin yookiis haaloo utuu irraa hin qabaatin nama tokko yommuu ajjeesu baqatee ittiin du'a ooluu danda'u kanatti fufee jira.
Namni tokko muka muruudhaaf namaa wajjin caakkaa lixee, muka muruudhaaf qottoo yommuu ol fudhatu qottichi mukattii buqqa'ee namicha isaa wajjin dhaqe rukutee yoo ajjeese, inni ajjeese sun mandaroota sana keessaa gara isa tokkootti kooluu haa galu!
Kanaa achi mandarri kooluu itti galan sun irraa fagoo yoo ta'e, inni duraan namicha irraa haaloo utuu hin qabaatin waan ajjeeseef, du'uun kan isa irra hin jirre yoo ta'e iyyuu, utuu inni achi hin ga'in inni gumaa baafachuudhaaf barbaadu sun yommuu garaan isaa aaru duukaa bu'ee qaqqabee isa in ajjeesa ta'a;
kanaafan, "Mandaroota sadii addaan baasi!" jedhee si abboome.
Waaqayyo gooftaan kee biyya isa, "Isiniifan kenna" jedhee abboota kee kakuudhaan abdachiise hundumaa siif kennee daarii biyya keetii yoo siif bal'ise,
ati abboommii isa inni har'a si abboomu kana hundumaa yoo eegde, Waaqayyoon gooftaa kees yoo jaallatte, guyyaa hundumaas karaa isaa irra yoo adeemte, mandaroota dur addaan baafte sanatti mandaroota kan biraa sadii dabaltee addaan in baafta.
Biyya Waaqayyo gooftaan kee dhaalaaf siif kennu keessatti dhiigni nama balleessaa hin qabnee akka hin dhangalaanetti, dhiigni dhangala'u kunis si irraa akka hin barbaadamnetti kana godhi!
Garuu namni tokko nama haaloo irraa qabu tokko riphee eeggatee, rukutee ajjeesee mandaroota sana keessaa isa tokkotti yoo baqate,
maanguddoonni mandara isaatii erganii isa fichisiisanii akka inni du'uuf dabarsanii harka isa gumaa baafachuudhaaf barbaaduu sanatti haa kennan!
Garaan kee isaaf hin oo'in! Israa'el keessatti dhiigni nama balleessaa hin qabnee akka hin dhangalaane in goota, gaariis siif in ta'a.
Biyya Waaqayyo gooftaan kee akka ati qabattee dhaaltuuf siif kennu keessatti dhagaa daarii ollaa keetii isa warri si dura turan dhaabaniif duraa hin buqqisin!
"Namni tokko in yakke yookiis cubbuu hojjete" jedhamee yoo hammeeffame, afaan dhuga-baatota lamaa yookiis sadiitiin malee afaan nama tokkootiin itti hin ragga'u.
Namni sobaan dhugaa ba'u tokko ka'ee nama tokko sobaan yoo hadheesse,
jarri wal hammeessan sun lamaan fuula Waaqayyoo, fuula lubootaa fi abboota firdii bara sanaa duratti haa dhi'aatan!
Abboonni firdiis ba'eessa godhanii dubbicha haa qoran! Egaa namichi sobaan dhugaa ba'u sun obboleessa isaa irratti sobaan dhugaa ba'uun isaa yoo hubatame,
wanta inni obboleessa isaa irratti hojjechiisuuf yaade sana isa irratti raawwadhu! Isin akkasitti hamaa of gidduudhaa balleessaa!
Namoonni warri hafan kana in dhaga'u, in sodaatu, deebi'aniis wanta hamaa akkasii hin hojjetan.
Qooda lubbuu lubbuun, qooda ilkaanii ilkaan, qooda harkaa harki, qooda miillaa miilli ijaa haa baafamu malee hin oo'iniif!
Waaqayyo gooftaan kee inni biyya Gibxii ol si baase sii wajjin waan jiruuf, ati diina keetti duuluudhaaf baatee, fardeenii fi konkolaattota loltuu kan kee caalaa guddatus yeroo argitu, isaan hin sodaatin!
Bakkee lolaa sanatti yeroo dhi'aattanis, lubichi gara fuula duraatti ba'ee, loltuu keessanitti haa dubbatu!
Inni yommus, "Yaa namoota Israa'el dhaga'aa! Isin har'a diinota keessanii wajjin wal loluuf dhi'aattaniittu, egaa isaan duratti laphee hin laafinaa, hin sodaatinaa, hin rom'inaa, hin na'inaas!
Inni isin oolchuudhaaf isin dura adeemee diinota keessan lolu Waaqayyo gooftaa keessan" haa jedhu!
Kana booddee warri hojii geggeessan immoo jaraan, "Isin keessaa namni mana haaraa ijaaree eebbisiifatee itti hin galin jiraa? Inni lola keessatti du'ee namni kan biraa akka eebbisiifatee itti hin galletti, gara mana isaatti haa deebi'u!
Namni waynii dhaabbatee ija isaa irraa hin nyaatin jiraa? Inni lola keessatti du'ee namni kan biraa ija isaa akka hin nyaannetti, gara mana isaatti haa deebi'u!
Namni durba haasa'atee hin fuudhin jiru jiraa? Inni lola keessatti du'ee namni kan biraa ishee akka hin fuunetti, gara mana isaatti haa deebi'u" haa jedhan!
Warri hojii geggeessan ammas jaraan, "Namni sodaatu yookiis laphe-laafessi jiraa? Garaan hiriyoota isaa warra kaaniis akka kan isaatii bishaan akka hin taanetti, inni gara mana isaatti haa deebi'u" haa jedhan!
Warri hojii geggeessan kana jaratti dubbachuu yommuu raawwatan, angafoonni loltuu jara dura adeeman hojii irra haa dhaabaman!
Ati mandara tokkotti duultee yeroo itti dhi'aattu, dura dhaamsa nagaa itti dhaami!
Isaan deebii nagaa siif deebisanii karra isaanii yoo siif banan, namoonni achi keessatti argaman hundinuu hojii humnaa siif haa hojjetan!
Sii wajjin nagaa buusuu didanii, yoo si lolan garuu, ati mandarichatti marsi!
Waaqayyo gooftaan kee mandaricha harka kee keessa yeroo buusutti, achi keessaa dhiira kan ta'e hundumaa billaadhaan rukuti!
Dubartoota, ijoollee, horii qe'ee, wanta mandara sana keessa jiru hundumaa, wanta booji'amu guutummaatti ofii keetiif qabadhu! Diina kee irraa wanta booji'ame isa Waaqayyo gooftaan kee siif kennes nyaadhu!
Mandaroota si irraa fagoo warra kan saba sitti dhi'oo jiran kanaa hin ta'in hundumaas akkasuma godhi!
Haa ta'u iyyuu malee, mandaroota saba warra kanaa warra Waaqayyo gooftaan kee dhaala siif kennu keessatti, wanta lubbuu qabu tokko illee fayyaatti hin hambisin!
Warra Heetotaa, Amoorotaa, Kana'aanotaa, Pheriizotaa, Hiiwotaa fi Yibusootaa immoo akkuma Waaqayyo gooftaan kee si abboometti raawwadhuu isaan balleessi!
Kanaa achi wanta ciiggaasisaa isa yeroo waaqayyolii isaaniif sagadan hojjetan sana duukaa bu'uu si barsiisu, atis Waaqayyo gooftaa kee duratti cubbuu in hojjetta.
Ati mandara tokko qabachuudhaaf itti duultee, yeroo dheeraadhaaf isatti yoo marsite, mukkeetii mandara sanaa murtee hin balleessin! Ija isaanii nyaachuu in dandeessaatii gad hin cirin! Mukkeetiin sun namoota warra ati itti marsitee eeggattu sana miti.
Mukkeetii warra iji isaanii akka hin nyaatamne ati beektu duwwaa achii kaasuu in dandeessa; warra akkasii immoo hamma mandarri sii wajjin wal lolu sun kufutti, hojii marsaadhaaf barbaaddu akka ittiin ijaartuuf murmuri!
Biyya Waaqayyo gooftaan kee akka ati qabattuuf siif kennu keessatti namni tokko ajjeefamee reeffi isaa bakkeetti yoo argame, namni isa ajjeeses yoo wallaalame,
maanguddoonnii keessanii fi abboonni firdii keessan gad ba'anii, fageenya iddoo reeffi namichaa itti argamee fi mandaroota naanna'aa sanaa gidduu jiru haa safaran!
Maanguddoonni mandara isa iddoo reeffi namichaa jirutti caalaa dhi'aatu keessaa dhufan goromsa hin qabamin, waanjoonis kan irra hin ga'in fuudhanii,
dachaa bishaan yaa'u qabu isa lafti isaa utuu hin qotamin, midhaanis utuu itti hin facaafamin hafetti gad geessanii dachicha keessatti saggoo haa kutan!
Sanyiin Lewwootaa warri luboonni warri Waaqayyo gooftaan kee akka isaaf hojjetanii fi maqaa isaatiin akka eebbisaniif, wal diduun yookiis wal rukutuun hundinuu dubbii afaan isaaniitiin murtoo akka argatuuf isaan fo'ate gara fuula duraatti haa dhi'aatan!
Maanguddoonni mandara iddoo reeffi namicha isa ajjeefamee itti argame sanaatti dhi'oo jiran hundinuu goromsa dachaa keessatti saggoon ishee kutame sana irratti harka isaanii haa dhiqatan!
Isaan harka isaanii yommuu dhiqatan, "Harki keenya dhiiga kana hin dhangalaafne, iji keenyas nama isa dhangalaase hin argine.
Yaa Waaqayyo, Israa'el saba kee isa furtetti araara argisiisi, dhiiga nama balleessaa hin qabnee kana Israa'el saba keetti hin lakkaa'in!" in jedhu; akkasitti dhiiga isa dhangala'eef dhiifamuun isaaniif in ta'a.
Wanta ija Waaqayyoo duratti qajeelaa ta'e yoo gootan, yakka isa dhiiga nama balleessaa hin qabnee dhangalaasuudhaan ta'u of gidduudhaa in balleessitu.
Ati diinota keetti yommuu duultu, Waaqayyo gooftaan kees harka kee keessa isaan buusee yommuu isaan boojitu,
warra boojite sana keessaa dubartii miidhagduu tokko argitee, ishee fuudhuu yoo feete,
gara mana keetti ishee galchi! Isheen mataa ishee haa haaddattu, qeensa ishees haa qorattu!
Uffata isa yeroo booji'amte uffattu sana ofittii baaftee mana kee teessee abbaa isheetii fi haadha isheetii ji'a tokko guutuu haa gadditu! Kana booddees ishee bira ga'ii abbaa manaa isheedhaaf ta'i! Isheenis haadha manaa siif haa taatu!
Isheen yoo sitti toluu didde immoo iddoo barbaadde haa dhaqxu gad ishee dhiisi malee, sababii ishee yeellaasifteef akka garbittiitti lakkooftee ishee hin gurguratin!
Namni tokko haadha manaa lama qabaatee, ishee tokko jaallatee, ishee kaan immoo yoo jaallachuu dhabaate, lachuun isaanii, isheen inni jaallatu, isheen inni hin jaallannes ijoollee godhataniifii, ilmi inni angafni immoo kan ishee inni hin jaallannee yoo ta'e,
namichi sun gaafa ilmaan isaatiif dhaala hiru, angafummaa ilma isaa isa kan haadha manaa isaa ishee inni hin jaallanne sanaa ilma isaa isa kan ishee jaallatutti hin dabarsin!
Inni ilma isa kan ishee hin jaallannee sanaaf qabeenya isaa hundumaa keessaa harka lama kennuudhaan angafummaa isaa haa beeksisuuf! Inni humna isaa isa jalqabaa waan ta'eef angafummaan kan isaa haa ta'u!
Namni tokko ilma mata-jabeessaa fi didaa, abbaan isaa fi haati isaa utuma adabanii isaaniif kan hin dhageenye yoo qabaate,
abbaan isaa fi haati isaa isa qabatanii gara karra dallaa mandara inni keessa jiraatutti geessanii maanguddoota mandara isaatti haa dhi'eessan!
Isaan maanguddoota mandara isaatiin, "Ilmi keenya kun mata-jabeessaa fi didaa dha, nuuf hin abboomamu, albaadhessa, machaa'aa dhas" haa jedhan!
Kana booddee namoonni mandarichaa hundinuu dhagaadhaan rukutanii isa haa ajjeesan! Akkasitti hamaa hundumaa of gidduudhaa balleessaa! Warri Israa'el hundinuus waa'ee kanaa in dhaga'u, in sodaatus.
Namni tokko cubbuu du'a itti farachiisu waan hojjeteef ajjeefamee mukatti yoo rarraafame,
guyyaadhuma sana haa awwaalamu malee, reeffi isaa mukicha irra hin bulin! Namni mukatti rarraafame Waaqayyo duratti abaaramaa dha; biyya Waaqayyo gooftaan kee akka dhaaltuuf siif kennu hin xureessin!
Qotiyyoon yookiis hoolaan obboleessa keetii badee utuu adeemuu yoo argite, gara isaatti deebisi malee calluma jettee hin dhiisin!
Obboleessi kee sitti dhi'oo yoo ta'uu dhaabaate yookiis isa yoo beekuu dhaabaatte immoo mana keetti fuudhii gali! Hamma obboleessi kee barbaacha dhufuttis si bira haa turu, yommuu inni dhufu immoo isaaf deebisi!
Harree isaa yookiis uffata isaa akkasuma godhi! Egaa waanuma obboleessa kee duraa badee inni dhabee barbaadaa jiru yommuu argitu akkasuma godhi malee, tuffattee hin dhiisin!
Harreen yookiis qotiyyoon obboleessa keetii karaa irratti kufee yoo argite, isa gargaarii kaasi malee, calluma jettee hin dhiisin!
Uffata dhiiraa dubartiin hin uffatin! Uffata dubartii dhiirri hin uffatin! Eenyumti illee wanta akkasii yoo godhe Waaqayyo gooftaa kee biratti ciigga'amaa in ta'a.
Muka tokko irratti yookiis lafatti mann'ee simbirroo ilmaan yookiis anqaaquun keessa jiru argitee, haati ilmaan yookiis anqaaquu sana irra yoo jiraatte, haadha ishee ilmaanii wajjin hin fudhatin!
Gaarii akka siif ta'uuf bara dheeraas akka jiraattuuf, haadha ishee gad dhiisi! Ilmaan garuu ofii fudhachuu in dandeessa.
Ati mana haaraa yeroo ijaarrattu, namni bantii isaa irraa kufe dhiiga dhangala'uuf gumaa mana kee irratti akka hin fidnetti, qarqara bantii mana keetti naannessii ittisa itti hojjedhu!
Sanyii akaakuu garaa garaa iddoo dhaabaa waynii keetti hin facaasin! Kanaa achi iji sanyii isa ati facaafte sanaa, iji iddoo dhaabaa waynii sana irraa argamus guutummaatti mana qulqullummaaf addaan in baafama.
Qotiyyoo fi harree walitti camaddee ittiin hin qotin!
"Uffata rifeensaa fi quncee talbaa irraa waliin makamee dha'ame hin uffatin!
Qoloo uffattutti karaa golee arfanii cercerree kaa'adhu!
Namni tokko niitii fuudhee, erga bira ga'ee booddee, yoo ishee jibbe,
inni dubbii nama yeellaasisuun ishee hadheessee, "Ani intala kana nan fuudhe, garuu yeroon isheetti dhi'àadhe immoo milikkita durbummaa ishee nan dhabe" yoo jedhe,
abbaan intalattii fi haati ishee milikkita durbummaa isheetii karra kellaa mandarichaa lafa rnaanguddoonni mandara sanaa itti wal ga'anitti geessanii isaanitti haa dhi 'eessan!
Yommus abbaan intalattii maanguddootaan, "Ani intala koo namicha kanatti nan heerumsiise, inni immoo ishee in jibbe;
kunoo ammas dubbii nama yeellaasisuun, 'Ani milikkita durbummaa intala keetii hin arganne' jedhee ishee hadheesse; amma garuu milikkinni durbummaa intala kootii kunoo ti!" haajedhu! Wayyaa sanas maanguddoota mandara sanaa duratti haa diriirsan!
'Yeroo sanatti maanguddoonni mandara sanaa namicha fuudhanii haa dhaanan!
Sababii inni durba Israa'el irra maqaa gadhee kaa'eefis, meetii sheeqelii dhibba tokko miijanu abbaa intalattiif gatii haa baasisan! Intalattiin immoo haadha manaa isaa haa taatu! Bara jireenya isaa guutuuttis ishee gad hin dhiisin!
Haa ta'u iyyuu malee, hadheessi sun dhugaa ta'ee, milikkinni durbummaa intalattii yoo argamuu dhaabaate,
intalattiin mana abbaa isheetti gaalamootuu isheetiin Israa'el keessatti wanta yeellaasisaa waan hojjetteef, gara balbala mana abbaa isheetiitti ishee haa baasan, namoonni mandara isheetiis dhagaadhaan rukutanii ishee haa ajjeesan! Akkasitti isa hamaa of gidduudhaa baasaa!
Namni tokko dubartii dhirsa qabduu wajjin utuu ciisuu yoo argame, lamaanuun isaanii, namichi inni ishee wajjin ciisee fi dubartittiin haa ajjeefaman! Akkasitti isa hamaa Israa'el keessaa baasaa!
Namni tokko durba kaadhimatamte tokko mandara keessatti argee, isheedhaa wajjin yoo ciise,
isaan Iachuu gara karra kellaa mandarichaatti baasaa! Isheen durbaa mandara keessa utuma .jirtuu hin iyyine, inni dhiiraa immoo kaadhima nama biraa in salphise; kanaafis isin dhagaadhaan rukutaatii isaan ajjeesaa! Akkasitti isa hamaa of gidduudhaa baasaa!
Namni tokko bakkee keessatti durba kaadhimatamte tokko argee, qabee ishee wajjin yoo ciise garuu, namichi inni ishee wajjin ciise sun duwwaan haa ajjeefamu!
Wanti akkasii akka isa namni tokko nama biraa irratti ka'ee isa ajjeesu waan ta'eef, cubbuun du'aan ishee ga'u intalattii irra hinjiru; kanaaf intalattii waan tokko iyyuu hin godhinaa!
Namichi bakkee keessatti waan ishee argateef, intalli kaadhimatamte sun yoo iyyite iyyuu ishee oolchuudhaaf namni tokko illee hin argamu ture.
Namni tokko durba hin kaadhimatamin tokko argee, qabee ishee wajjin yoo ciise, isaan lachuu yoo argaman,
namichi ishee wajjin ciise sun waan ishee yeetlaasiseef, abbaa intalaattiif meetii sheeqelii shantama miijanu haa kennu! Isheenis haadha manaa isaaf haa taatu! Inni immoo bara jireenya isaa guutuutti ishee gad bin dhiisin!
Namni haadha manaa abbaa isaatii fuudhuun irra bin jiru, siree abbaa isaatiis salphisuun hin ta'u!
Namni tumamee sangoome yookiis namni saalli isaa murame waldaa Waaqayyootti hin lixin!
Namni abbaa hin beekaminiif dhalatu waldaa Waaqayyootti hin lixin! Sanyii isaa keessaas hamma dhaloota kudhaniitti waldaa Waaqayyootti hin lixin!
Amoononni yookiis Mo'aabonni, sanyii isaanii keessaas namni tokko illee hamma dhaloota kudhaniitti iyyuu waldaa Waaqayyootti hin lixin!
Isaan yommuu ati biyya Gibxii baatee dhufte Bala'aam ilma Be'or akka si abaaruuf Phetor mandara Mesophotaamiyaa keessaa sitti bitan malee, buddeenaa fi bishaaniin karaatti sitti hin adeemne.
Haa ta'u iyyuu malee, Waaqayyo gooftaan kee sababii si jaallateef Bala'aamiif hin dhageenye; Waaqayyo gooftaan kee abaarsicha eebbatti siif geddare.
Bara jireenya kee hundumaatti isaan nagaa akka qabaatan, isaanitti tolees akka jiraatan hin barbaadin!
Edoom obboleessa kee waan ta'eef nama Edoom hin tuffatin! Ati biyya isaa keessatti galaa waan turteef nama Gibxii hin tuffatin!
Sanyiin isaanii dhaloota sadaffaa booddee waldaa Waaqayyootti dabalamuu in danda'u.
Yommuu diina kee loluudhaaf kaatee iddoo tokko buufattu, wanta hamaa hundumaa irraa of eeggadhu!
Isin keessaa namni tokko halkan dingata ofitti abju'atee yoo of xureesse, iddoo buufataa keessaa gara alaatti haa ba'u malee, gara keessaatti ol hin dhufin!
